sdtname,dtname,stname,number_of_cell_towers
Burgampahad,Bhadradri Kothagudem,TELANGANA,16
Burhanpur,Azamgarh,UTTAR PRADESH,11
Burhanpur,Burhanpur,MADHYA PRADESH,14
Burja,Srikakulam,ANDHRA PRADESH,2
Burwan,Murshidabad,WEST BENGAL,15
Buxar,Buxar,BIHAR,2
Byadgi,Haveri,KARNATAKA,1
C.Belagal,Kurnool,ANDHRA PRADESH,6
Campierganj,Gorakhpur,UTTAR PRADESH,2
Canacona,South Goa,GOA,91
Canning - I,South Twenty Four Parganas,WEST BENGAL,19
Chabua,Dibrugarh,ASSAM,10
Chachaura,Guna,MADHYA PRADESH,8
Chachyot,Mandi,HIMACHAL PRADESH,5
Chadoora,Badgam,JAMMU & KASHMIR,8
Chagalamarri,Kurnool,ANDHRA PRADESH,14
Chagallu,West Godavari,ANDHRA PRADESH,12
Chail,Kaushambi,UTTAR PRADESH,14
Chakdah,Nadia,WEST BENGAL,91
Chakia,Chandauli,UTTAR PRADESH,1
Chakradharpur,Pashchimi Singhbhum,JHARKHAND,2
Chaksu,Jaipur,RAJASTHAN,20
Chakur,Latur,MAHARASHTRA,5
Chalisgaon,Jalgaon,MAHARASHTRA,55
Challapalle,Krishna,ANDHRA PRADESH,6
Chamarajanagar,Chamarajanagara,KARNATAKA,6
Chamba,Chamba,HIMACHAL PRADESH,3
Chamkaur Sahib,Rupnagar,PUNJAB,34
Chamoli,Chamoli,UTTARAKHAND,11
Champa,Janjgir - Champa,CHATTISGARH,13
Champawat,Champawat,UTTARAKHAND,10
Chanakya Puri,New Delhi,DELHI,577
Chanan*,Lakhisarai,BIHAR,1
Chanasma,Patan,GUJARAT,21
Chanchal - I,Maldah,WEST BENGAL,6
Chanchal - II,Maldah,WEST BENGAL,2
Chandauli,Chandauli,UTTAR PRADESH,139
Chandausi,Moradabad,UTTAR PRADESH,14
Chandel,Chandel,MANIPUR,1
Chandgad,Kolhapur,MAHARASHTRA,20
Chandia,Umaria,MADHYA PRADESH,9
Chandigarh,Chandigarh,CHANDIGARH,1020
Chandil,Saraikela-Kharsawan,JHARKHAND,4
Chandipur,Purba Medinipur,WEST BENGAL,11
Chanditala - I,Hugli,WEST BENGAL,2
Chanditala - II,Hugli,WEST BENGAL,89
Chandpur,Bijnor,UTTAR PRADESH,34
Chandragiri,Chittoor,ANDHRA PRADESH,20
Chandrakona - I,Medinipur West,WEST BENGAL,16
Chandrakona - II,Medinipur West,WEST BENGAL,15
Chandrapur,Chandrapur,MAHARASHTRA,144
Chandur Railway,Amravati,MAHARASHTRA,10
Chandurbazar,Amravati,MAHARASHTRA,1
Chandvad,Nashik,MAHARASHTRA,63
Changanassery,Kottayam,KERALA,379
Channapatna,Ramanagara,KARNATAKA,13
Chapad,Y.S.R.,ANDHRA PRADESH,7
Chapra,Nadia,WEST BENGAL,12
Chariduar,Sonitpur,ASSAM,1
Charminar,Hyderabad,TELANGANA,71
Chatrai,Krishna,ANDHRA PRADESH,3
Chaurah,Chamba,HIMACHAL PRADESH,2
Chauri Chaura,Gorakhpur,UTTAR PRADESH,8
Chauth Ka Barwara,Sawai Madhopur,RAJASTHAN,10
Chavakkad,Thrissur,KERALA,474
Chebrolu,Guntur,ANDHRA PRADESH,9
Cheepurupalle,Vizianagaram,ANDHRA PRADESH,3
Chegunta,Medak,TELANGANA,14
Chenani,Udhampur,JAMMU & KASHMIR,1
Chengalpattu,Kancheepuram,TAMILNADU,811
Chengam,Tiruvannamalai,TAMILNADU,40
Chengannur,Alappuzha,KERALA,421
Chennai,Chennai,TAMILNADU,4738
Chennekothapalle,Anantapur,ANDHRA PRADESH,6
Chennur,Adilabad,TELANGANA,1
