State_code,District_code,Subdistrict_code,Subdistrict_name,Number of households_total,population_total,Area_total,population density_total,State_name,District_name,Household density,% Rural Population,% Rural Households,% Rural Area
1,21,80,Ranbir Singh Pora,41528,197739,245.26,806.0,JAMMU & KASHMIR,Jammu,169.32235178993722,85.69831950196976,86.12743209400887,97.23558672429259
1,21,81,Bishnah,22632,111438,158.18,705.0,JAMMU & KASHMIR,Jammu,143.07750663800732,82.35162152946033,82.59102156238953,90.29586546971805
1,22,82,Samba,65385,318898,903.65,353.0,JAMMU & KASHMIR,Samba,72.35655397554363,83.1874141575049,83.68586067140782,95.71072871133735
2,23,83,Pangi,3952,18868,1515.455245321114,12.0,HIMACHAL PRADESH,Chamba,2.607797235980136,100.0,100.0,100.0
2,23,84,Chaurah,14142,78988,1164.894564119854,68.0,HIMACHAL PRADESH,Chamba,12.14015451319846,100.0,100.0,100.0
2,23,85,Saluni,8815,47939,362.0248525754306,132.0,HIMACHAL PRADESH,Chamba,24.34915707385953,100.0,100.0,100.0
2,23,86,Bhalai,4774,25326,133.25185124403168,190.0,HIMACHAL PRADESH,Chamba,35.82689437655243,100.0,100.0,100.0
2,23,87,Dalhousie,9514,46760,159.95734751725522,292.0,HIMACHAL PRADESH,Chamba,59.478355622105376,77.33105218135158,78.90477191507253,92.68555012845667
2,23,88,Bhattiyat,8897,42967,248.8837917206384,173.0,HIMACHAL PRADESH,Chamba,35.74760710004976,87.02492610608141,85.37709340227043,98.10755052892844
2,23,89,Sihunta,8297,39871,264.1863677579328,151.0,HIMACHAL PRADESH,Chamba,31.40585969826546,100.0,100.0,100.0
2,23,90,Chamba,35900,179253,1012.2771446685192,177.0,HIMACHAL PRADESH,Chamba,35.46459602400273,88.87996295738425,87.3091922005571,99.57225152984977
2,23,91,Holi,3027,14094,716.0666401334067,20.0,HIMACHAL PRADESH,Chamba,4.227260188292049,100.0,100.0,100.0
2,23,92,Brahmaur,5142,25014,945.0131863564894,26.0,HIMACHAL PRADESH,Chamba,5.441193915848992,100.0,100.0,100.0
2,24,93,Nurpur,37267,176525,540.4221802474495,327.0,HIMACHAL PRADESH,Kangra,68.95904972467288,94.44441297266675,94.26570424235919,99.12105754100895
2,24,94,Indora,16720,81226,298.12916541036685,272.0,HIMACHAL PRADESH,Kangra,56.083073848160296,94.41804348361362,93.99521531100478,96.87383822808103
2,24,95,Fatehpur,13185,62041,305.9878131087973,203.0,HIMACHAL PRADESH,Kangra,43.08995141356146,100.0,100.0,100.0
2,24,96,Jawali,24532,112746,295.64212255898286,381.0,HIMACHAL PRADESH,Kangra,82.97870339875428,100.0,100.0,100.0
2,24,97,Harchakian,3125,13841,72.18539948156237,192.0,HIMACHAL PRADESH,Kangra,43.29130298431318,100.0,100.0,100.0
2,24,98,Shahpur,15082,67758,244.60678011275544,277.0,HIMACHAL PRADESH,Kangra,61.65814370741362,100.0,100.0,100.0
2,24,99,Dharmsala,31328,136536,337.66703106822905,404.0,HIMACHAL PRADESH,Kangra,92.77778733947484,68.6588152575145,66.38789581205312,94.53011449131736
2,24,100,Kangra,21432,97568,180.62658348104588,540.0,HIMACHAL PRADESH,Kangra,118.65363108220986,90.23450311577567,89.501679731243,98.27267950272258
2,24,101,Nagrota Bagwan,17068,76899,95.01726828115284,809.0,HIMACHAL PRADESH,Kangra,179.6305062096331,92.3275985383425,91.73892664635575,96.27436142499356
2,24,102,Baroh,5725,25789,133.9945300175966,192.0,HIMACHAL PRADESH,Kangra,42.72562468966588,100.0,100.0,100.0
2,24,103,Dera Gopipur,27654,120783,610.6403696047614,198.0,HIMACHAL PRADESH,Kangra,45.286884681239016,96.01268390419182,95.83785347508498,99.46449659033901
2,24,104,Jawalamukhi,9740,43504,103.61999027528424,420.0,HIMACHAL PRADESH,Kangra,93.99730664058183,87.67699521883046,87.84394250513347,95.63790733043707
2,24,105,Jaswan,7486,32520,181.0750666181807,180.0,HIMACHAL PRADESH,Kangra,41.341970155312225,100.0,100.0,100.0
2,24,106,Rakkar,6765,29503,114.48551355223222,258.0,HIMACHAL PRADESH,Kangra,59.09044550788144,100.0,100.0,100.0
2,24,107,Khundian,8268,38231,190.7072612680079,200.0,HIMACHAL PRADESH,Kangra,43.354405831357816,100.0,100.0,100.0
2,24,108,Thural,4658,19287,57.681047114679686,334.0,HIMACHAL PRADESH,Kangra,80.75442858620627,100.0,100.0,100.0
2,24,109,Dhira,5298,22119,81.18564061997238,272.0,HIMACHAL PRADESH,Kangra,65.25784559365349,100.0,100.0,100.0
2,24,110,Jaisinghpur,15393,61082,191.00285242657404,320.0,HIMACHAL PRADESH,Kangra,80.59041948558036,100.0,100.0,100.0
2,24,111,Palampur,44501,189276,429.2900974251571,441.0,HIMACHAL PRADESH,Kangra,103.66183675540839,98.12813034933113,98.1079076874677,99.84392838222483
2,24,112,Baijnath,22112,95229,296.03964170326145,322.0,HIMACHAL PRADESH,Kangra,74.69269950733221,100.0,100.0,100.0
2,24,113,Multhan,1548,7612,978.9979171710116,8.0,HIMACHAL PRADESH,Kangra,1.581208675574327,100.0,100.0,100.0
2,25,114,Udaipur,1869,8889,1798.5447073717748,5.0,HIMACHAL PRADESH,Lahul & Spiti,1.0391735008529102,100.0,100.0,100.0
2,25,115,Lahul,2222,10218,4923.782688955602,2.0,HIMACHAL PRADESH,Lahul & Spiti,0.45127905522396544,100.0,100.0,100.0
2,25,116,Spiti,2583,12457,7118.678526790516,2.0,HIMACHAL PRADESH,Lahul & Spiti,0.362848243572049,100.0,100.0,100.0
2,26,117,Manali,12450,51661,751.7321605081908,69.0,HIMACHAL PRADESH,Kullu,16.561749854607086,84.32860378235031,81.71084337349399,99.60092169025043
2,26,118,Kullu,44056,206716,2809.0409314870026,74.0,HIMACHAL PRADESH,Kullu,15.68364472947654,84.57739120339016,82.35881605229707,99.57636786753048
2,26,119,Sainj,5310,25908,272.0176914415878,95.0,HIMACHAL PRADESH,Kullu,19.520789151099212,100.0,100.0,100.0
2,26,120,Banjar,8642,43612,956.6394846825428,46.0,HIMACHAL PRADESH,Kullu,9.033706154066822,96.75777308997525,95.37144179588059,99.76689233136347
2,26,121,Ani,12292,56917,300.3005015201061,190.0,HIMACHAL PRADESH,Kullu,40.932332572801286,100.0,100.0,100.0
2,26,122,Nermand,12057,53089,413.27847516106607,128.0,HIMACHAL PRADESH,Kullu,29.174033308415236,100.0,100.0,100.0
2,27,123,Padhar,10432,49357,409.4823241080118,121.0,HIMACHAL PRADESH,Mandi,25.47606913857479,100.0,100.0,100.0
2,27,124,Jogindarnagar,19597,84470,277.50303691048475,304.0,HIMACHAL PRADESH,Mandi,70.61904697757049,93.68414821830235,93.50410777159769,98.46848522909285
2,27,125,Lad Bharol,6438,25832,84.85477987968962,304.0,HIMACHAL PRADESH,Mandi,75.8707996076125,100.0,100.0,100.0
2,27,126,Sandhol,4199,16925,59.42185705826235,285.0,HIMACHAL PRADESH,Mandi,70.66423380008027,100.0,100.0,100.0
2,27,127,Dharmpur,8292,34777,115.3374872163038,302.0,HIMACHAL PRADESH,Mandi,71.89336442235118,100.0,100.0,100.0
2,27,128,Kotli,5775,25860,89.13789670532387,290.0,HIMACHAL PRADESH,Mandi,64.78725899368322,100.0,100.0,100.0
2,27,129,Sarkaghat,15828,64269,146.40286199697803,439.0,HIMACHAL PRADESH,Mandi,108.11264058708574,92.66364810406262,92.5195855446045,97.98501206891646
2,27,130,Bhadrota,4934,21542,88.33034007232838,244.0,HIMACHAL PRADESH,Mandi,55.85849659312808,100.0,100.0,100.0
2,27,131,Baldwara,10107,43811,94.6476818342424,463.0,HIMACHAL PRADESH,Mandi,106.78549969877241,100.0,100.0,100.0
2,27,132,Sundarnagar,24005,111351,244.51588178799847,455.0,HIMACHAL PRADESH,Mandi,98.17358211853474,78.13760091961454,75.63007706727764,94.96556219171356
2,27,133,Mandi,47425,216051,591.2745666547411,365.0,HIMACHAL PRADESH,Mandi,80.20808381513314,86.92762357036071,85.04797047970479,98.60809166094138
2,27,134,Aut,6032,30893,150.66553435089085,205.0,HIMACHAL PRADESH,Mandi,40.035699113188286,100.0,100.0,100.0
2,27,135,Bali Chowki,7220,37913,192.1167007660386,197.0,HIMACHAL PRADESH,Mandi,37.58132411815971,100.0,100.0,100.0
2,27,136,Thunag,10872,50308,313.5670850270424,160.0,HIMACHAL PRADESH,Mandi,34.67200646733181,100.0,100.0,100.0
2,27,137,Chachyot,12416,57723,242.3487677855296,238.0,HIMACHAL PRADESH,Mandi,51.23195019084123,100.0,100.0,100.0
2,27,138,Nihri,6908,35569,326.8866583535374,109.0,HIMACHAL PRADESH,Mandi,21.132707082002707,100.0,100.0,100.0
2,27,139,Karsog,18665,93126,523.5215873700064,178.0,HIMACHAL PRADESH,Mandi,35.65278003867345,100.0,100.0,100.0
2,28,140,Tira Sujanpur,10693,46007,183.91157195407592,250.0,HIMACHAL PRADESH,Hamirpur,58.14207277109306,82.7352359423566,83.45646684747031,98.35246908728689
2,28,141,Nadaun,18065,81089,182.2736175141844,445.0,HIMACHAL PRADESH,Hamirpur,99.10924162458231,94.53686689933282,94.54746747854969,98.74913329142512
2,28,142,Galore,6043,26957,78.18161285907475,345.0,HIMACHAL PRADESH,Hamirpur,77.29438903866989,100.0,100.0,100.0
2,28,143,Hamirpur,27322,116948,229.77429627104,509.0,HIMACHAL PRADESH,Hamirpur,118.90799120442601,84.94715600095769,84.07876436571262,97.71950123010325
2,28,144,Barsar,12450,55556,167.89033008888643,331.0,HIMACHAL PRADESH,Hamirpur,74.15555138529169,97.38462092303261,97.59036144578313,99.3686354661172
2,28,145,Dhatwal,8628,37621,119.34545537659989,315.0,HIMACHAL PRADESH,Hamirpur,72.29433222047679,100.0,100.0,100.0
2,28,146,Bhoranj,22318,90590,156.61915609938254,578.0,HIMACHAL PRADESH,Hamirpur,142.49853310305244,100.0,100.0,100.0
