State_code,District_code,Subdistrict_code,Subdistrict,Subdistrict_name,T/r/u,Number_of_villages_habitated,Unhabitated,Number of towns,Number of households,population,Area,population density
1,9,41,SUB-DISTRICT,Bandipora,Rural,41,1,0,22776,140657,102.81,1368.0
1,9,41,SUB-DISTRICT,Bandipora,Urban,0,0,1,5584,37081,13.4,2767.0
1,9,42,SUB-DISTRICT,Sonawari,Total,50,2,2,25006,176502,184.0,959.0
1,9,42,SUB-DISTRICT,Sonawari,Rural,50,2,0,20992,148222,147.77,1003.0
1,9,42,SUB-DISTRICT,Sonawari,Urban,0,0,2,4014,28280,36.23,781.0
1,10,0,DISTRICT,Srinagar,Total,11,0,5,191678,1236829,1979.0,625.0
1,10,0,DISTRICT,Srinagar,Rural,11,0,0,2844,17313,1684.47,10.0
1,10,0,DISTRICT,Srinagar,Urban,0,0,5,188834,1219516,294.53,4141.0
1,10,43,SUB-DISTRICT,Srinagar (North),Total,8,0,3,188079,1216358,298.07,4081.0
1,10,43,SUB-DISTRICT,Srinagar (North),Rural,8,0,0,1710,10910,11.59,941.0
1,10,43,SUB-DISTRICT,Srinagar (North),Urban,0,0,3,186369,1205448,286.48,4208.0
1,10,44,SUB-DISTRICT,Srinagar (South),Total,3,0,2,3599,20471,12.42,1648.0
1,10,44,SUB-DISTRICT,Srinagar (South),Rural,3,0,0,1134,6403,4.37,1465.0
1,10,44,SUB-DISTRICT,Srinagar (South),Urban,0,0,2,2465,14068,8.05,1748.0
1,11,0,DISTRICT,Ganderbal,Total,113,2,3,45361,297446,259.0,1148.0
1,11,0,DISTRICT,Ganderbal,Rural,113,2,0,38395,250407,233.6,1072.0
1,11,0,DISTRICT,Ganderbal,Urban,0,0,3,6966,47039,25.4,1852.0
1,11,45,SUB-DISTRICT,Lar,Total,42,0,1,13620,90694,82.92,1094.0
1,11,45,SUB-DISTRICT,Lar,Rural,42,0,0,12072,80223,73.38,1093.0
1,11,45,SUB-DISTRICT,Lar,Urban,0,0,1,1548,10471,9.54,1098.0
1,11,46,SUB-DISTRICT,Kangan,Total,42,0,0,18326,120934,90.44,1337.0
1,11,46,SUB-DISTRICT,Kangan,Rural,42,0,0,18326,120934,90.44,1337.0
1,11,46,SUB-DISTRICT,Kangan,Urban,0,0,0,0,0,0.0,0.0
1,11,47,SUB-DISTRICT,Ganderbal,Total,29,2,2,13415,85818,85.96,998.0
1,11,47,SUB-DISTRICT,Ganderbal,Rural,29,2,0,7997,49250,70.1,703.0
1,11,47,SUB-DISTRICT,Ganderbal,Urban,0,0,2,5418,36568,15.86,2306.0
1,12,0,DISTRICT,Pulwama,Total,319,10,5,86241,560440,1086.0,516.0
1,12,0,DISTRICT,Pulwama,Rural,319,10,0,75587,479978,1047.45,458.0
1,12,0,DISTRICT,Pulwama,Urban,0,0,5,10654,80462,38.55,2087.0
1,12,48,SUB-DISTRICT,Pampore,Total,23,3,2,12350,81564,112.41,726.0
1,12,48,SUB-DISTRICT,Pampore,Rural,23,3,0,7618,50033,82.46,607.0
1,12,48,SUB-DISTRICT,Pampore,Urban,0,0,2,4732,31531,29.95,1053.0
1,12,49,SUB-DISTRICT,Awantipora,Total,43,3,1,12091,86507,116.92,740.0
1,12,49,SUB-DISTRICT,Awantipora,Rural,43,3,0,11008,73860,111.92,660.0
1,12,49,SUB-DISTRICT,Awantipora,Urban,0,0,1,1083,12647,5.0,2529.0
1,12,50,SUB-DISTRICT,Tral,Total,66,0,1,18659,110196,117.87,935.0
1,12,50,SUB-DISTRICT,Tral,Rural,66,0,0,16303,92352,117.27,788.0
1,12,50,SUB-DISTRICT,Tral,Urban,0,0,1,2356,17844,0.6,29740.0
1,12,51,SUB-DISTRICT,Pulwama,Total,187,4,1,43141,282173,288.68,977.0
1,12,51,SUB-DISTRICT,Pulwama,Rural,187,4,0,40658,263733,285.68,923.0
1,12,51,SUB-DISTRICT,Pulwama,Urban,0,0,1,2483,18440,3.0,6147.0
1,13,0,DISTRICT,Shupiyan,Total,226,3,1,44411,266215,312.0,853.0
1,13,0,DISTRICT,Shupiyan,Rural,226,3,0,41858,249855,306.56,815.0
1,13,0,DISTRICT,Shupiyan,Urban,0,0,1,2553,16360,5.44,3007.0
1,13,52,SUB-DISTRICT,Shopian,Total,226,3,1,44411,266215,311.73,854.0
1,13,52,SUB-DISTRICT,Shopian,Rural,226,3,0,41858,249855,306.29,816.0
1,13,52,SUB-DISTRICT,Shopian,Urban,0,0,1,2553,16360,5.44,3007.0
1,14,0,DISTRICT,Anantnag,Total,335,7,12,153640,1078692,3574.0,302.0
1,14,0,DISTRICT,Anantnag,Rural,335,7,0,117648,795805,3475.76,229.0
1,14,0,DISTRICT,Anantnag,Urban,0,0,12,35992,282887,98.24,2880.0
1,14,53,SUB-DISTRICT,Pahalgam,Total,65,1,2,19277,119884,125.22,957.0
1,14,53,SUB-DISTRICT,Pahalgam,Rural,65,1,0,17300,104101,103.2,1009.0
1,14,53,SUB-DISTRICT,Pahalgam,Urban,0,0,2,1977,15783,22.02,717.0
1,14,54,SUB-DISTRICT,Bijbehara,Total,51,1,2,20450,146801,142.1,1033.0
1,14,54,SUB-DISTRICT,Bijbehara,Rural,51,1,0,15770,112197,131.09,856.0
1,14,54,SUB-DISTRICT,Bijbehara,Urban,0,0,2,4680,34604,11.01,3143.0
1,14,55,SUB-DISTRICT,Anantnag,Total,82,4,4,48726,364763,188.83,1932.0
1,14,55,SUB-DISTRICT,Anantnag,Rural,82,4,0,25995,179530,143.12,1254.0
