operator,city_name,deployment_type,status,lat,long
Reliance Jio,Kanchipuram,5G NR,Commercial Availability,12.818259,79.694695
Reliance Jio,Karur,5G NR,Commercial Availability,10.96008,78.0766
Reliance Jio,Kumbakonam,5G NR,Commercial Availability,10.96169,79.38811
Reliance Jio,Latur,5G NR,Commercial Availability,18.40879,76.56038
Reliance Jio,Mahbubnagar,5G NR,Commercial Availability,16.73751,78.00812
Reliance Jio,Mathura,5G NR,Commercial Availability,27.49241,77.67367
Reliance Jio,Nagercoil,5G NR,Commercial Availability,8.18329,77.4119
Reliance Jio,Nalco,5G NR,Commercial Availability,20.86526,85.18422
Reliance Jio,Nandyala,5G NR,Commercial Availability,14.67637,75.80328
Reliance Jio,Phagwara,5G NR,Commercial Availability,31.22402,75.7708
Reliance Jio,Ramagundam,5G NR,Commercial Availability,18.75955,79.48164
Reliance Jio,Tenali,5G NR,Commercial Availability,16.23953,80.64934
Reliance Jio,Tezpur,5G NR,Commercial Availability,26.65285,92.79256
Reliance Jio,Thanesar,5G NR,Commercial Availability,29.96961,76.81975
Reliance Jio,Thanjavur,5G NR,Commercial Availability,10.787,79.13783
Reliance Jio,Tiruvannamalai,5G NR,Commercial Availability,12.22528,79.0747
Reliance Jio,Yamuna Nagar,5G NR,Commercial Availability,30.12905,77.26739
Airtel,Thrissur,5G NR,Commercial Availability,10.5256264,76.2132542
Airtel,Thiruvananthapuram,5G NR,Commercial Availability,8.52414,76.93664
Airtel,Kozhikode,5G NR,Commercial Availability,11.2450558,75.7754716
Airtel,Itanagar,5G NR,Commercial Availability,27.08437,93.60532
Airtel,Gwalior,5G NR,Commercial Availability,26.21829,78.18283
Airtel,Ujjain,5G NR,Commercial Availability,23.17960965,75.78871946
Airtel,Bhopal,5G NR,Commercial Availability,23.25993,77.41262
Reliance Jio,Haridwar,5G NR,Commercial Availability,29.94569,78.16425
Airtel,Raipur,5G NR,Commercial Availability,21.25138,81.62964
Airtel,Bhilai,5G NR,Commercial Availability,21.19385,81.35094
Reliance Jio,Roorkee,5G NR,Commercial Availability,29.85426,77.888
Reliance Jio,Gorakhpur,5G NR,Commercial Availability,26.76055,83.37317
Reliance Jio,Mancherial,5G NR,Commercial Availability,18.8756,79.45914
Reliance Jio,Patiala,5G NR,Commercial Availability,30.33978,76.38688
Reliance Jio,Alwar,5G NR,Commercial Availability,27.55299,76.63457
Reliance Jio,Talcher,5G NR,Commercial Availability,20.9501,85.21682
Reliance Jio,Raigarh,5G NR,Commercial Availability,21.8974,83.39496
Reliance Jio,Proddatur,5G NR,Commercial Availability,14.74919,78.55316
Reliance Jio,Madanapalle,5G NR,Commercial Availability,13.56035,78.50361
Reliance Jio,Hindupur,5G NR,Commercial Availability,13.81854,77.49888
Airtel,Balasore,5G NR,Commercial Availability,21.48693,86.9246
Airtel,Brahmapur,5G NR,Commercial Availability,19.31496,84.79409
Airtel,Sambalpur,5G NR,Commercial Availability,21.46687,83.98117
Airtel,Angul,5G NR,Commercial Availability,20.8444,85.15108
Airtel,Rajkot,5G NR,Commercial Availability,22.30389,70.80216
Airtel,Vadodara,5G NR,Commercial Availability,22.30716,73.18122
Airtel,Surat,5G NR,Commercial Availability,21.17024,72.83106
Airtel,Dharamshala,5G NR,Commercial Availability,32.21904,76.3234
Airtel,Mandi,5G NR,Commercial Availability,31.707399,76.932121
Airtel,Baddi,5G NR,Commercial Availability,30.95783,76.79136
Airtel,Bahadurgarh,5G NR,Commercial Availability,28.69245,76.92397
Airtel,Yamuna Nagar,5G NR,Commercial Availability,30.12905,77.26739
Airtel,Sonipat,5G NR,Commercial Availability,28.92877,77.09128
Airtel,Karnal,5G NR,Commercial Availability,29.68569,76.99048
Airtel,Ambala,5G NR,Commercial Availability,30.37818,76.7767
Reliance Jio,Rudrapur,5G NR,Commercial Availability,28.98751,79.41412
Reliance Jio,Rishikesh,5G NR,Commercial Availability,30.08693,78.26761
Reliance Jio,Haldwani,5G NR,Commercial Availability,29.21826,79.51298
